Gambar;Nama;Alamat;Keterangan;Latitude;Longitude
1.JPG;Pulai Kemaro;1 Ilir, Kec. Ilir Tim. II, Kota Palembang, Sumatera Selatan;Pulau yang dipenuhi pohon hijau di dalam delta kecil Sungai Musi dengan pagoda 9 tingkat.;-2.97805;104.81746
2.JPG;Taman Kambang Iwak Besak;Jl. Tasik, Talang Semut, Kec. Bukit Kecil, Kota Palembang, Sumatera Selatan 30121;Taman wisata kambang iwak besak, salah satu jejak peninggalan Kompeni Belanda di kota Palembang.;-2.98997;104.74690
3.JPG;Bukit Seguntang;Bukit Lama, Kec. Ilir Bar. I, Kota Palembang, Sumatera Selatan 30137;Kompleks arkeologi di atas bukit kecil, dengan makam kerajaan & reruntuhan dari abad ke-6 hingga 13.;-2.99718;104.72517
4.JPG;Gunung Dempo;Dempio Makmur, Pagar Alam Utara, Kota Pagar Alam, Sumatera Selatan;Gunung berapi yang menawarkan pendakian pegunungan menantang, panorama indah kota & kebun teh.;-4.01600;103.12842
5.JPG;Air Terjun Lawang Agung;Talang Tinggi, Muara Payang, Kabupaten Lahat, Sumatera Selatan 31592;Air terjun Lawang Agung merupakan satu dari 1000 air terjun yang mengucur dari tebing-tebing nan eksotis di Lahat;-3.90159;103.14997
6.JPG;Air Terjun Bedegung;Bedegung, Tj. Agung, Kabupaten Muara Enim, Sumatera Selatan;Air terjun yang menjulang tinggi ini jatuh ke kolam berbatu dan dapat dilihat dari jembatan atau anjungan.;-4.05930;103.76693
7.JPG;Bukit Selero;Padang, Merapi Sel., Kabupaten Lahat, Sumatera Selatan;Bukit Jempol atau masyarakat setempat mengenalnya dengan Bukit Selero, menjadi salah satu destinasi wisata unik yang ada di Lahat.;-3.81184;103.67083
8.JPG;Pelancu Ulak Pandan;Bar., Ulak Pandan, Merapi Bar., Kabupaten Lahat, Sumatera Selatan 31471;Terletak diantara kota Muara Enim dan kota lahat. Banyak spot untuk berfoto kekinian. Yang paling iconik adalah bukit selero.;-3.81317;103.68547
9.JPG;Jembatan Ampera;Kota Palembang, Sumatera Selatan;Jembatan Ampera (Amanat penderitaan rakyat) adalah sebuah jembatan di Kota Palembang, Provinsi Sumatra Selatan, Indonesia.;-2.99174;104.76354
10.JPG;Hutan Punti Kayu;Jalan Kol. Burlian Km. 6,5, Karya Baru, Alang Alang Lebar, Karya Baru, Kec. Alang-Alang Lebar, Kota Palembang, Sumatera Selatan 30961;Situs berhutan dengan wahana & margasatwa, replika keajaiban dunia utama & instalasi unik.;-2.94525;104.72602
